"LEMAIRE, Henri"; 
"DUPLESSIS, chevalier Pierre"; 
"FONTETTE DE SOMMERY, mademoiselle"; 
"FULLER, Anne"; 
"FULLER, Anne"; 
"GALLAIS, Jean-Pierre"; 
"GETNON-VILLE, comtesse de"; 
"GORJY, Jean-Claude"; 
"HAYLEY, William"; 
"HERIOT, John"; 
"HUGHES, Mrs Anne"; 
"JOHNSON, Anna Maria"; 
"KLINGER, Friedrich Maximilian"; 
"LESUIRE, Robert-Martin"; 
"LESUIRE, Robert-Martin"; 
"MACKENZIE, Anna Maria"; 
"MAIMIEUX, Joseph de"; 
"MEISSNER, August Gottlieb"; 
"NESMOND, comtesse de"; 
"NOUGARET, Pierre-Jean-Baptiste"; 
"PRATT, Samuel Jackson"; 
"REEVE, Mrs Clara"; 
"ROCHE, Regina Maria"; 
"ROSNY, Antoine-Joseph-Nicolas de"; 
"ARTAUD, Jean-Baptiste"; 
"BERQUIN, Arnaud"; 
"BILDERBECK, baron Ludwig Benedict Franz von"; 
"CHAMBERT, Pierre"; 
"FULLER, Anne"; 
"GESSNER, Salomon"; 
"GORJY, Jean-Claude"; 
"GORJY, Jean-Claude"; 
"LOUVET DE COUVRAY, Jean-Baptiste"; 
"MAYER, Charles-Joseph de"; 
"MEISSNER, August Gottlieb"; 
"MILLON, Charles"; 
"MOUTONNET DE CLAIRFONS, Julien-Jacques"; 
"SERIEYS, Antoine"; 
"BERQUIN, Arnaud"; 
"BOULARD, Martin-Sylvestre"; 
"FLORIAN, Jean-Pierre"; 
"GORJY, Jean-Claude"; 
"LOUVET DE COUVRAY, Jean-Baptiste"; 
"PERRIN, Pierre"; 
"SAINT-PIERRE, Jacques-Henri"; 
"VESQUE DE PUTTELANGE, Jean"; 
"FLORIAN, Jean-Pierre"; 
"GOODRICKJE, Henry"; 
"LEROUX, Adrien"; 
"LESUIRE, Robert-Martin"; 
"NOUGARET, Pierre-Jean-Baptiste"; 
"SAINT-PIERRE, Jacques-Henri"; 
"WEZEL, Johann Karl"; 
"FEITH, Rhinjvis"; 
"KEIR, Mrs"; 
"VILLETERQUE, Alexandre-Louis"; 
"WIESENHUETTEN, Frederike"; 
"BARBA, Jean-Nicolas"; 
"RAITHBY, John"; 
"BILDERBECK, baron Ludwig Benedict Franz von"; 
"BLANCHARD, Pierre"; 
"MAISTRE, comte Xavier de"; 
"BOIELDIEU, Marie-Jacques-Amand"; 
"BOOSER, madame"; 
"MATON DE LA VARENNE, Pierre-Anne-Louis de"; 
"MATON DE LA VARENNE, Pierre-Anne-Louis de n"; 
"SMITH, John"; 
"SPIESS, Christian Heinrich"; 
"TOMLINS, Elizabeth Sophia et Sophia LEE"; 
"WIELAND, Christoph Martin"; 
"BLANCHARD, Pierre"; 
"BLANCHARD, Pierre"; 
"BLANCHARD, Pierre"; 
"CAMPENON, Vincent"; 
"FEITH, Rhinjvis"; 
"GODWIN, William"; 
"GODWIN, William"; 
"GRASSET-SAINT-SAUVELIR, Jacques"; 
"GRASSET-SAINT-SAUVEUR, Jacques"; 
"HAUDRY, mademoiselle"; 
"JACOBI, Friedrich Heinrich"; 
"MALLET, Jean-Louis"; 
"MOLINE, Pierre-Louis"; 
"MOORE, Dr John"; 
"ROUGET DE LISLE, Claude-Joseph"; 
"SCHULZ, Joachim Christoph Friedrich"; 
"SPIESS, Christian Heinrich"; 
"SPIESS, Christian Heinrich"; 
"SPIESS, Christian Heinrich"; 
"WIELAND, Christoph Martin"; 
"BLANCHARD, Pierre"; 
"BOULARD, Martin-Sylvestre"; 
"BOURLIN, Antoine-Jean"; 
"CAMBRY, Jacques"; 
"CUMBERLAND, Richard"; 
"DIDEROT, Denis"; 
"DIDEROT, Denis"; 
"GALLAND, Antoine"; 
"GALLAND, Antoine"; 
"GRANDMAISON VAN ESBECQ, madame"; 
"HENRION, Charles"; 
"HENRION, Charles"; 
"LAFONTAINE, August Heinrich Julius"; 
"LEIGH, sir Samuel Egerton"; 
"LESUIRE, Robert-Martin"; 
"LESUIRE, Robert-Martin"; 
"LEWIS, Matthew Gregory"; 
"MARSHALL, Edmund"; 
"MOORE, Dr John"; 
"RICHARDSON, William"; 
"RIPAULT, Louis-Madeleine"; 
"ROBINSON, Mary Darby"; 
"ROCHE, Regina Maria"; 
"ROSNY, Antoine-Joseph-Nicolas de"; 
"ROSNY, Antoine-Joseph-Nicolas de"; 
"ROSNY, Antoine-Joseph-Nicolas de"; 
"ROSNY, Antoine-Joseph-Nicolas de"; 
"SANCY, madame de"; 
"BLANCHARD, Pierre"; 
"BLANCHARD, Pierre"; 
"BOULARD, Martin-Sylvestre"; 
"BOUTERWEK, Friedrich"; 
"DESFORGES, Pierre-Jean-Baptiste Choudard"; 
"HAYWOOD, Eliza"; 
"HOLCROFT, Thomas"; 
"KLINGER, Friedrich Maximilian"; 
"KOTZEBUE, August Friedrich Ferdinand von"; 
"LAFONTAINE, August Heinrich Julius"; 
"LATHOM, Francis"; 
"LEE, Margaret"; 
"LEMAIRE, Henri"; 
"LESUIRE, Robert-Martin"; 
"MACKENZIE, Anna Maria"; 
"MASSIAS, baron Nicolas"; 
"MOORE, George"; 
"REMER, Julius August"; 
"ROBINSON, Mary Darby"; 
"ROSNY, Antoine-Joseph-Nicolas de"; 
"ROSNY, Antoine-Joseph-Nicolas de"; 
"SMOLLETT, Tobias"; 
"SOAVE, Francesco"; 
"KOTZEBUE, August Friedrich Ferdinand von"; 
"LA GRAVE, comtesse de"; 
"LA GRAVE, comtesse de"; 
"LA GRAVE, comtesse de"; 
"LEJEUNE, Augustin"; 
"LEMAIRE, Henri"; 
"LEMAIRE, Henri"; 
"LEMAIRE, Henri"; 
"MACKENZIE, Anna Maria"; 
"MAIMIEUX, Joseph de"; 
"MUSGRAVE, Agnes"; 
